s,x0,x1,x2,x3,x4,x5,u0,u1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.100579023361206055e-01,5.284180641174316406e+00,-1.570069551467895508e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000011818202176495e-03,0.000000000000000000e+00,4.986224687343542322e-09,4.100600826619963390e-01,5.281180641847411650e+00,-1.570069551467895508e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.999945741847012223e-03,0.000000000000000000e+00,9.972320025050859777e-09,4.100622629878720726e-01,5.278180642520506893e+00,-1.570069551467895508e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.999957560049188718e-03,2.220446049250313081e-16,1.495854471239440210e-08,4.100644433137478062e-01,5.275180643193602137e+00,-1.570069551467895508e+00,6.000000238418579102e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.199996938266573512e-02,0.000000000000000000e+00,1.393898577254807284e-08,4.100666236396235398e-01,5.272180643866697380e+00,-1.570069551467895508e+00,6.000000238418579102e-01,4.713976318255735837e-19,3.465868332636922768e-04
1.499990322413645612e-02,1.771876561696208725e-04,5.356948661306426797e-07,4.100693296869620807e-01,5.269180644967939919e+00,-1.569892363811725922e+00,6.000000238418579102e-01,4.713976318255735837e-19,3.465868332636922768e-04
1.799991500142031353e-02,1.810818905032887400e-04,1.069133346763488930e-06,4.100720474169994301e-01,5.266180646079742012e+00,-1.569888469577392254e+00,6.000000238418579102e-01,4.713976318255735837e-19,3.465868332636922768e-04
2.099992667394933940e-02,1.849761248369566076e-04,1.617314014505612360e-06,4.100747768297354212e-01,5.263180647202151619e+00,-1.569884575343058586e+00,6.000000238418579102e-01,4.713976318255735837e-19,3.465868332636922768e-04
2.399993815905480943e-02,1.888703591706244751e-04,2.183069983135166941e-06,4.100775179251698876e-01,5.260180648335212261e+00,-1.569880681108724918e+00,6.000000238418579102e-01,5.718316231493799635e-19,3.655389130383779176e-04
2.699987360435972955e-02,2.024535790347224131e-04,2.789256068747036904e-06,4.100802994508313537e-01,5.257180649505484915e+00,-1.569867097888860696e+00,6.000000238418579102e-01,5.718316231493799635e-19,3.655389130383779176e-04
2.999988509637958878e-02,2.065607581102300297e-04,3.407650633736005950e-06,4.100830932980252808e-01,5.254180650687207077e+00,-1.569862990709785189e+00,6.000000238418579102e-01,5.718316231493799635e-19,3.655389130383779176e-04
3.299989713638783184e-02,2.106679371857376462e-04,4.029527838357031690e-06,4.100858994667515023e-01,5.251180651880429373e+00,-1.569858883530709681e+00,6.000000238418579102e-01,5.718316231493799635e-19,3.655389130383779176e-04
3.599982937329752192e-02,2.147751162612452627e-04,4.663726685896678446e-06,4.100887179570100183e-01,5.248180653085202430e+00,-1.569854776351634174e+00,6.000000238418579102e-01,5.749381730996595072e-19,3.893004547510689711e-04
3.899984140010927247e-02,2.310300511122012114e-04,5.346289757947247073e-06,4.100915848115779250e-01,5.245180654335806381e+00,-1.569838521416783372e+00,6.000000238418579102e-01,5.749381730996595072e-19,3.893004547510689711e-04
4.199985340142229490e-02,2.354042138371195182e-04,6.048094286602610134e-06,4.100944647886284322e-01,5.242180655598978944e+00,-1.569834147254058454e+00,6.000000238418579102e-01,5.749381730996595072e-19,3.893004547510689711e-04
4.499978565630682881e-02,2.397783765620378250e-04,6.765854286731188772e-06,4.100973578881615400e-01,5.239180656874776076e+00,-1.569829773091333536e+00,6.000000238418579102e-01,5.749381730996595072e-19,3.893004547510689711e-04
4.799979766523329583e-02,2.441525392869561047e-04,7.496736907746957584e-06,4.101002641101772483e-01,5.236180658163256396e+00,-1.569825398928608617e+00,6.000000238418579102e-01,3.284310237400682175e-18,3.616107109970948062e-04
5.099980931123890282e-02,2.343707079139813892e-04,8.195568048473056961e-06,4.101031414533922170e-01,5.233180659423899428e+00,-1.569835180759981297e+00,6.000000238418579102e-01,3.284310237400682175e-18,3.616107109970948062e-04
5.399982021379683139e-02,2.384337498828528062e-04,8.900808901014077234e-06,4.101060309857279540e-01,5.230180660696258421e+00,-1.569831117718012647e+00,6.000000238418579102e-01,3.284310237400682175e-18,3.616107109970948062e-04
5.699975876355471011e-02,2.424967918515021786e-04,9.618238975377094952e-06,4.101089327071844037e-01,5.227180661980382226e+00,-1.569827054676043998e+00,6.000000238418579102e-01,3.284310237400682175e-18,3.616107109970948062e-04
5.999976965753595071e-02,2.465598338203735685e-04,1.034808444769574872e-05,4.101118466177615107e-01,5.224180663276320580e+00,-1.569822991634075349e+00,6.000000238418579102e-01,-2.037531320183136947e-18,3.242714729216982753e-04
6.299978167519373895e-02,2.315337130544816650e-04,1.104220658371666079e-05,4.101147160793082169e-01,5.221180664529414095e+00,-1.569838017754840997e+00,6.000000238418579102e-01,-2.037531320183136947e-18,3.242714729216982753e-04
6.599971393309235490e-02,2.351772129749176647e-04,1.174725908700227226e-05,4.101175964713500988e-01,5.218180665792982786e+00,-1.569834374254920561e+00,6.000000238418579102e-01,-2.037531320183136947e-18,3.242714729216982753e-04
6.899972594561237793e-02,2.388207128953536644e-04,1.246324222295286422e-05,4.101204877938871562e-01,5.215180667067065734e+00,-1.569830730755000125e+00,6.000000238418579102e-01,-2.037531320183136947e-18,3.242714729216982753e-04
7.199973799938266805e-02,2.424642128157896640e-04,1.318392370732898655e-05,4.101233900469193894e-01,5.212180668351702906e+00,-1.569827087255079689e+00,6.000000238418579102e-01,-3.317217948644626241e-18,2.794359040179288448e-04
7.499967023053147330e-02,2.231861562637947648e-04,1.384480684977600389e-05,4.101262352214615214e-01,5.209180669581665590e+00,-1.569846365311631686e+00,6.000000238418579102e-01,-3.317217948644626241e-18,2.794359040179288448e-04
7.799968226010989270e-02,2.263258856984594379e-04,1.451510907518122200e-05,4.101290898151880859e-01,5.206180670820575784e+00,-1.569843225582197022e+00,6.000000238418579102e-01,-3.317217948644626241e-18,2.794359040179288448e-04
8.099969428756959022e-02,2.294656151331241111e-04,1.519483048906951318e-05,4.101319538280990828e-01,5.203180672068462798e+00,-1.569840085852762357e+00,6.000000238418579102e-01,-3.317217948644626241e-18,2.794359040179288448e-04
8.399970631288031231e-02,2.326053445677887842e-04,1.588397109144216659e-05,4.101348272601945122e-01,5.200180673325356828e+00,-1.569836946123327692e+00,6.000000238418579102e-01,-3.851162322512836570e-18,2.290516271409810461e-04
8.699963855231504506e-02,2.099868188224268055e-04,1.650610539425090737e-05,4.101376336859133276e-01,5.197180674518820709e+00,-1.569859564649073169e+00,6.000000238418579102e-01,-3.851162322512836570e-18,2.290516271409810461e-04
8.999965053927758141e-02,2.125604327406265741e-04,1.713629998430650956e-05,4.101404478324707781e-01,5.194180675719516138e+00,-1.569856991035154747e+00,6.000000238418579102e-01,-3.851162322512836570e-18,2.290516271409810461e-04
9.299966256756947436e-02,2.151340466592704319e-04,1.778282794947864717e-05,4.101432696998668637e-01,5.191180676927464432e+00,-1.569854417421236326e+00,6.000000238418579102e-01,-3.851162322512836570e-18,2.290516271409810461e-04
9.599959483697849405e-02,2.177076605776922451e-04,1.843707662397692170e-05,4.101460992881015843e-01,5.188180678142684243e+00,-1.569851843807317904e+00,6.000000238418579102e-01,5.650611435550998091e-19,1.350965125857956088e-04
9.899960688996518876e-02,1.722480405160235956e-04,1.895653008129850273e-05,4.101487940810412125e-01,5.185180679233794443e+00,-1.569897303427379764e+00,6.000000238418579102e-01,5.650611435550998091e-19,1.350965125857956088e-04
1.019996174185595073e-01,1.737659789254357629e-04,1.947419202335417773e-05,4.101514934277943891e-01,5.182180680328997369e+00,-1.569895785488970130e+00,6.000000238418579102e-01,5.650611435550998091e-19,1.350965125857956088e-04
1.049995623407014300e-01,1.752839173350699748e-04,1.999380111897340172e-05,4.101541973283611697e-01,5.179180681428301014e+00,-1.569894267550560496e+00,6.000000238418579102e-01,5.650611435550998091e-19,1.350965125857956088e-04
1.079995721613541404e-01,1.768018557447041867e-04,2.051796394411909915e-05,4.101569057827414433e-01,5.176180682531713373e+00,-1.569892749612150862e+00,6.000000238418579102e-01,3.176532157135439123e-18,7.606791251713635891e-05
1.109995283967841334e-01,1.481422511385272975e-04,2.096050223608861358e-05,4.101595292532022041e-01,5.173180683559604809e+00,-1.569921409216757047e+00,6.000000238418579102e-01,3.176532157135439123e-18,7.606791251713635891e-05
1.139993972281283935e-01,1.489969468198677424e-04,2.141109294310595556e-05,4.101621552877491861e-01,5.170180684589739784e+00,-1.569920554521075706e+00,6.000000238418579102e-01,3.176532157135439123e-18,7.606791251713635891e-05
1.170001399569851191e-01,1.498516425014302319e-04,2.186424915932810070e-05,4.101647838863822781e-01,5.167180685622119185e+00,-1.569919699825394366e+00,6.000000238418579102e-01,3.176532157135439123e-18,7.606791251713635891e-05
1.200000162337513110e-01,1.507063381825486323e-04,2.231951917528371805e-05,4.101674150491014803e-01,5.164180686656746566e+00,-1.569918845129713025e+00,6.000000238418579102e-01,6.017929299140083401e-18,1.710300147945283350e-05
1.230000305546398720e-01,1.214160511730415031e-04,2.267951322496953253e-05,4.101699593347792883e-01,5.161180687616435669e+00,-1.569948135416722401e+00,6.000000238418579102e-01,6.017929299140083401e-18,1.710300147945283350e-05
1.259999501737143479e-01,1.216082197367700040e-04,2.304008390556015244e-05,4.101725041969626062e-01,5.158180688576613271e+00,-1.569947943248158673e+00,6.000000238418579102e-01,6.017929299140083401e-18,1.710300147945283350e-05
1.289999644944636314e-01,1.218003883004985049e-04,2.340123096668247771e-05,4.101750496356514342e-01,5.155180689537281147e+00,-1.569947751079594944e+00,6.000000238418579102e-01,6.017929299140083401e-18,1.710300147945283350e-05
1.319999755095596639e-01,1.219925568642270058e-04,2.376941447475407405e-05,4.101775956508457721e-01,5.152180690498437521e+00,-1.569947558911031216e+00,6.000000238418579102e-01,3.012059761045994343e-19,-4.073361023680210739e-05
1.349999205001072566e-01,9.261656996484152735e-05,2.405293682718108336e-05,4.101800545128805875e-01,5.149180691386895603e+00,-1.569976934897930665e+00,6.000000238418579102e-01,3.012059761045994343e-19,-4.073361023680210739e-05
1.379999303467801253e-01,9.215888893265717350e-05,2.433508624429454281e-05,4.101825120018727233e-01,5.146180692274227475e+00,-1.569977392578962849e+00,6.000000238418579102e-01,3.012059761045994343e-19,-4.073361023680210739e-05
1.409999402695836790e-01,9.170120790047281965e-05,2.461234898086267852e-05,4.101849681178221796e-01,5.143180693160434913e+00,-1.569977850259995034e+00,6.000000238418579102e-01,3.012059761045994343e-19,-4.073361023680210739e-05
1.439999501238374002e-01,9.124352686828846580e-05,2.488280024078167338e-05,4.101874228607289563e-01,5.140180694045519694e+00,-1.569978307941027218e+00,6.000000238418579102e-01,-3.614603104571554987e-19,-9.672083881565472145e-05
1.469998950853263764e-01,6.216316143083084169e-05,2.506695409199722067e-05,4.101897913061688938e-01,5.137180694861232411e+00,-1.570007388306464691e+00,6.000000238418579102e-01,-3.614603104571554987e-19,-9.672083881565472145e-05
1.499999051542360851e-01,6.107641038723116535e-05,2.524841494724989978e-05,4.101921564913565965e-01,5.134180695674372963e+00,-1.570008475057508068e+00,6.000000238418579102e-01,-3.614603104571554987e-19,-9.672083881565472145e-05
1.529999194844174903e-01,5.998965934407558500e-05,2.543500029206052071e-05,4.101945184162920643e-01,5.131180696484944903e+00,-1.570009561808551446e+00,6.000000238418579102e-01,-3.614603104571554987e-19,-9.672083881565472145e-05
1.559998391563620079e-01,5.890290830069795327e-05,2.561832522625028620e-05,4.101968770809752973e-01,5.128180697292953560e+00,-1.570010648559594824e+00,6.000000238418579102e-01,-4.091215363040559225e-19,-2.142185059636805269e-04
1.589998534923426909e-01,-2.252876012624654479e-06,2.562016325556265196e-05,4.101990542586481103e-01,5.125180697963763521e+00,-1.570071804343908140e+00,6.000000238418579102e-01,-4.091215363040559225e-19,-2.142185059636805269e-04
1.619998646229570405e-01,-4.659825636236974490e-06,2.560820730695461875e-05,4.102012242154736699e-01,5.122180698629340334e+00,-1.570074211293531752e+00,6.000000238418579102e-01,-4.091215363040559225e-19,-2.142185059636805269e-04
1.649998095900198913e-01,-7.066775259849294500e-06,2.558665163796152212e-05,4.102033869514519759e-01,5.119180699289702652e+00,-1.570076618243155364e+00,6.000000238418579102e-01,-4.091215363040559225e-19,-2.142185059636805269e-04
1.679998194563250280e-01,-9.473724883461614511e-06,2.555787503412750936e-05,4.102055424665830285e-01,5.116180699944869126e+00,-1.570079025192778976e+00,6.000000238418579102e-01,5.196350242482165938e-18,-2.603050418778019080e-04
1.709998311343142174e-01,-3.544176972548383308e-05,2.545197102715627974e-05,4.102076208543350422e-01,5.113180700545609803e+00,-1.570104993237620983e+00,6.000000238418579102e-01,5.196350242482165938e-18,-2.603050418778019080e-04
1.739998454746081447e-01,-3.836654563450279487e-05,2.533729268508659398e-05,4.102096904677610123e-01,5.110180701140285997e+00,-1.570107918013530002e+00,6.000000238418579102e-01,5.196350242482165938e-18,-2.603050418778019080e-04
1.769997651128086547e-01,-4.129132154352175665e-05,2.521384014016880628e-05,4.102117513068610499e-01,5.107180701728921690e+00,-1.570110842789439021e+00,6.000000238418579102e-01,5.196350242482165938e-18,-2.603050418778019080e-04
1.799997790367778849e-01,-4.421609745254071844e-05,2.508229367035920770e-05,4.102138033716351551e-01,5.104180702311541751e+00,-1.570113767565348040e+00,6.000000238418579102e-01,1.199233951071870042e-17,-3.030600509131920264e-04
1.829997888902549497e-01,-6.899877255668186824e-05,2.488539131684713379e-05,4.102157818089876007e-01,5.101180702844702708e+00,-1.570138550240452124e+00,6.000000238418579102e-01,1.199233951071870042e-17,-3.030600509131920264e-04
1.859997338870498507e-01,-7.240394186853606304e-05,2.467827334736988879e-05,4.102177500308339386e-01,5.098180703371143707e+00,-1.570141955409763979e+00,6.000000238418579102e-01,1.199233951071870042e-17,-3.030600509131920264e-04
1.889997437391155999e-01,-7.580911118039025784e-05,2.446093997732531184e-05,4.102197080371741689e-01,5.095180703890901164e+00,-1.570145360579075833e+00,6.000000238418579102e-01,1.199233951071870042e-17,-3.030600509131920264e-04
1.919997570107431772e-01,-7.921428049224445264e-05,2.422670478711748618e-05,4.102216558280082914e-01,5.092180704404007940e+00,-1.570148765748387687e+00,6.000000238418579102e-01,1.098733536683444178e-17,-3.422715641153339840e-04
1.949996766358577660e-01,-1.026657867842623007e-04,2.392051029803395990e-05,4.102235339252030544e-01,5.089180704872675598e+00,-1.570172217254679703e+00,6.000000238418579102e-01,1.098733536683444178e-17,-3.422715641153339840e-04
1.979996909615187872e-01,-1.065115349424111658e-04,2.360277843893295800e-05,4.102254004851551561e-01,5.086180705334141905e+00,-1.570176063002837852e+00,6.000000238418579102e-01,1.098733536683444178e-17,-3.422715641153339840e-04
2.009997033437560254e-01,-1.103572831005600308e-04,2.327724934759301290e-05,4.102272555078645966e-01,5.083180705788453047e+00,-1.570179908750996001e+00,6.000000238418579102e-01,1.098733536683444178e-17,-3.422715641153339840e-04
2.039997131853408807e-01,-1.142030312587088959e-04,2.294539508159533286e-05,4.102290989933313758e-01,5.080180706235650767e+00,-1.570183754499154150e+00,6.000000238418579102e-01,7.400843239153870536e-18,-3.778235599683216076e-04
2.069996581629733601e-01,-1.362242397486880269e-04,2.254807627116506147e-05,4.102308770143729411e-01,5.077180706643336983e+00,-1.570205775707644191e+00,6.000000238418579102e-01,7.400843239153870536e-18,-3.778235599683216076e-04
