t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,delta_cmd,v_cmd
1761402280.278038,0.0,17.492342395958627,13.442970094403421,-1.5718295574188232,0.000113786200804694,0.0,-0.004340529441833496,-0.006937649942715344,2.577394430069529,0.005921378791563116,0.000113786200804694
1761402280.3401625,0.0,17.49234203236969,13.442969139545164,-1.571837306022644,0.00011275841790711142,0.33927001365484216,-0.004332998773043162,-0.006937954819479938,1.5823534759380555,0.00844377765736898,0.07856147040767017
1761402280.4127018,0.0,17.49234168427794,13.442968375392855,-1.571848750114441,0.000113786200804694,0.48379282291410386,-0.004321650354016882,-0.00693827434699741,2.0644759779608246,0.00842119077100441,0.0868469941486389
1761402280.4942906,0.0,17.49234166210462,13.4429657043427,-1.5718393325805664,0.000113786200804694,0.4824986896530724,-0.004331067048958914,-0.0069382821940393805,2.1438528124022525,0.00843995969443383,0.09354096564753371
1761402280.5569577,0.0,17.49234157198224,13.442917257386847,-1.571833610534668,0.00011480494389542708,0.4835740697515824,-0.004336792598484518,-0.00693811023648853,1.9894445255922621,0.008451388977196104,0.10843016845110029
1761402280.6440527,0.0,17.492340716059594,13.442760282690273,-1.5718259811401367,0.00011480494389542708,0.4842289194167223,-0.00434442242132782,-0.00693812235054834,2.087154659938078,0.008466617526279724,0.09956743308575267
1761402280.7224097,0.0,17.492340005333354,13.442409711150228,-1.571868658065796,0.00011480494389542708,0.48510145100732155,-0.0043017460663588025,-0.006936949878540565,2.0611815516252787,0.008381440727041714,0.1316459066087153
1761402280.8125987,0.0,17.492338493997078,13.441828731089865,-1.5719079971313477,0.00011480494389542708,0.48022117989855045,-0.004262403808807491,-0.006935340726388342,2.0544026156855257,0.008302916421746624,0.14576060958322012
1761402280.8869562,0.0,17.492337186507847,13.441031074718243,-1.5719504356384277,0.00011480494389542708,0.475722068615945,-0.004219962359033325,-0.006932363367431893,2.0654829765559857,0.008218189767870905,0.16939777336295994
1761402280.9403207,0.0,17.492334262301256,13.440016741870878,-1.5719999074935913,0.00011480494389542708,0.4708675889366006,-0.004170487328747807,-0.006929838536128421,2.060140485491245,0.00811943312364864,0.14511283850558493
1761402281.0203354,0.0,17.492332791492963,13.438829982480934,-1.5720628499984741,0.00011480494389542708,0.46520925002378977,-0.004107541122976066,-0.006924934147438753,2.0608596635860175,0.007993766778217417,0.10309627144965977
1761402281.0687704,0.0,17.49232935778458,13.437520390144684,-1.5720887184143066,0.00014914294100482495,0.46520925002378977,-0.004081757593251467,-0.0069212858644087175,2.0615762671879314,0.007942273297248633,0.11973549285908985
1761402281.157247,0.0,17.492327139055885,13.436119815407153,-1.5721747875213623,0.0001949533034330963,0.45505873967179905,-0.00399580473867811,-0.00691592025027391,2.0607544002325144,0.007770691269738186,0.07176388356320193
1761402281.2500875,0.0,17.492323757082197,13.434587442066922,-1.5722311735153198,0.006619209321095816,0.44522781365515285,-0.0039557023388576695,-0.006902696899619845,2.0402666665761986,0.0076905113606068965,0.11798274659592263
1761402281.3251765,0.0,17.4923209175097,13.432928228870747,-1.5723505020141602,0.021269068144255554,0.44063384326018745,-0.0038729751503989718,-0.006878091837220144,1.9964471919665194,0.007525139966994471,0.16793780246809367
1761402281.3821065,0.0,17.492314348585534,13.429745605308995,-1.5723847150802612,0.03789034154628366,0.4311587603539988,-0.003878440009470907,-0.006847066529614886,1.9535101485086224,0.0075356817458766346,0.17787616594419436
1761402281.4608665,0.0,17.49231082713487,13.428150860261928,-1.5724501609802246,0.054424188811856934,0.4317627597925069,-0.0038537926810997547,-0.006821784534226559,1.9131295734744609,0.0074862026099466504,0.1395408812230227
1761402281.5352225,0.0,17.49230720078065,13.42665110224279,-1.572473168373108,0.06725357035305438,0.4289278141297647,-0.003861255423466048,-0.0068018840687733605,1.8833360090776863,0.007500862666693184,0.16779280541674013
1761402281.6146796,0.0,17.492303614957404,13.425213142470266,-1.5725303888320923,0.07607914783874964,0.4297677735087634,-0.003825964697731443,-0.006787453691280218,1.8647858111318154,0.007430271435299974,0.17532889124366252
1761402281.6594079,0.0,17.492299104306415,13.423525508699687,-1.5726171731948853,0.08620658024730422,0.425723193879301,-0.0037619892114979514,-0.0067721987468338735,1.8371366491743004,0.007302429517865061,0.1982799997135321
1761402281.7399232,0.0,17.492294971308038,13.421703023002667,-1.572695255279541,0.09735547022589966,0.4183983915654206,-0.0037068837342761896,-0.006755352467837226,1.8075642925987627,0.007192269394355613,0.16087679497295834
1761402281.7976623,0.0,17.492290227480765,13.419835333064167,-1.5727518796920776,0.10329161682510377,0.41208668141768934,-0.003660694280040566,-0.00674493872455427,1.7982814206986488,0.007099977278059094,0.18673543091727587
1761402281.8713713,0.0,17.492284909300913,13.417732274223832,-1.572811484336853,0.10458087939057756,0.40679873267156824,-0.0036009657338178513,-0.006739296998588625,1.7988537254787391,0.006980722735098235,0.16649273109444412
1761402281.9496717,0.0,17.492278929983506,13.415393274047833,-1.572901964187622,0.10893588334793078,0.39996595067214946,-0.0035163379758138547,-0.006730433078208603,1.783456694635677,0.006811742786044391,0.1774281578504991
1761402282.02995,0.0,17.492272501246504,13.413002775601763,-1.5729714632034302,0.11293325255699825,0.3902841127690285,-0.0034497180092269986,-0.006722409445486254,1.7740923489751432,0.006678708392333775,0.19796804062806173
1761402282.081026,0.0,17.492265957828995,13.410546091697025,-1.5730451345443726,0.11345012329815278,0.3826618034793285,-0.0033722693683460037,-0.0067178352725713675,1.776876882634516,0.00652410521567247,0.21435111387927386
1761402282.1611962,0.0,17.492258043503153,13.408005102109874,-1.5731077194213867,0.1141825461260654,0.3738036939573202,-0.0033055189606661095,-0.006713961948225487,1.7737039151535412,0.0063908583373400284,0.1831667619271058
1761402282.2191854,0.0,17.492250866601587,13.405278333537456,-1.57321035861969,0.11581265479121969,0.36616921019557813,-0.003201313967082342,-0.0067080493440007235,1.7685762774855236,0.00618284551319811,0.20514036652991952
1761402282.3010614,0.0,17.492242663546335,13.402579985127954,-1.5732760429382324,0.12076317855654262,0.3542509532876492,-0.0031377568769848097,-0.006700077834510876,1.7530808927905575,0.006055922878581911,0.1897022467251784
1761402282.3661342,0.0,17.492235012188296,13.399780926622432,-1.5733667612075806,0.1271305156983501,0.34697882199946,-0.00305462166928816,-0.006689619870714949,1.7358007464180985,0.005889901971355918,0.21200228872086435
1761402282.4338233,0.0,17.49222574816546,13.39680906180293,-1.5734370946884155,0.13317738332905205,0.3374665247044776,-0.0029890238584320272,-0.006680440436275989,1.7212893614640148,0.005758893007787281,0.20644219783575557
1761402282.494675,0.0,17.492217563222383,13.39380972966875,-1.5735118389129639,0.1397230999517044,0.32996026401361156,-0.0029208887363014746,-0.006669589549395786,1.7038340219667651,0.005622800373372138,0.20869778417245352
1761402282.5689662,0.0,17.49220756153109,13.390849309316673,-1.5735739469528198,0.14747420088246865,0.32216273043880694,-0.0028667995127422685,-0.006659732214665556,1.68281263915956,0.00551474902355857,0.20092631037779174
1761402282.6371052,0.0,17.49219832539709,13.387814881028723,-1.5736690759658813,0.15393809001266784,0.31597184412379786,-0.0027781044334824756,-0.0066506901729138975,1.6680382198509696,0.005337649567942364,0.21445477547817582
1761402282.717246,0.0,17.492188804593326,13.384967947267793,-1.5737195014953613,0.15830164518947396,0.3058247927629248,-0.0027263825068075676,-0.00664473798751243,1.6588861649145643,0.00523436815425348,0.21685600341989106
1761402282.793612,0.0,17.492179622105624,13.382243656646555,-1.5737735033035278,0.16087608356463506,0.2999072036564071,-0.0026714424966849393,-0.006639919630270489,1.6536170520496807,0.0051246772829851,0.23702566165586159
1761402282.8627295,0.0,17.492169056070587,13.379251381284764,-1.5738683938980103,0.16154642045271148,0.2936223796816161,-0.0025719131638548554,-0.006637898314084465,1.6536171407716844,0.004926039224056872,0.23718150240056338
1761402282.941646,0.0,17.492159206481926,13.376339404870322,-1.573928713798523,0.16476009958269144,0.28224125725435767,-0.00250628624727689,-0.006633858316928883,1.6420804605766333,0.00479503126858882,0.23443031672536285
1761402283.004221,0.0,17.492149509243262,13.373504486426697,-1.574000358581543,0.1722524862485601,0.27473505432340045,-0.002439322402533861,-0.006626394178318361,1.6188023286325686,0.004661315017275882,0.2568081289878105
