t,idx,x,y,yaw,v,delta_actual,e_psi,e_y,a_cmd,delta_cmd,v_cmd
1763140970.9898996,1120.0,5.671046933126098,2.042356594024935,1.359468698501587,1.1314250451335156e-05,0.0,0.21243107318878174,-0.0001949969749319239,3.997188546863898,-0.2953472254396447,0.01
1763140971.0183442,1120.0,5.67104688344906,2.0423573471621124,1.359468698501587,1.1314250451335156e-05,-5.729577951308232,0.21243107318878174,-0.0001950458161503752,2.7483898094954835,-0.3740076409900655,0.011255044018520842
1763140971.0393403,1120.0,5.67104688344906,2.0423573471621124,1.359468698501587,1.1314250451335156e-05,-5.729577951308232,0.21243107318878174,-0.0001950458161503752,0.6040494610862018,-0.3956591408415191,0.01
1763140971.0563293,1120.0,5.67104688344906,2.0423573471621124,1.360033392906189,1.1314250451335156e-05,-5.729577951308232,0.2118663787841797,-0.0001950458161503752,0.3679628634712124,-0.39959393711429453,0.01
1763140971.0785685,1120.0,5.671050464086084,2.0423852378977534,1.360033392906189,1.1314250451335156e-05,-5.729577951308232,0.2118663787841797,-0.0001914342303263558,0.11313157008727412,-0.40245795703014964,0.01
1763140971.097926,1120.0,5.671050464086084,2.0423852378977534,1.360033392906189,1.1314250451335156e-05,-11.459155902616464,0.2118663787841797,-0.0001914342303263558,0.03385029708054663,-0.40331392933706983,0.01
1763140971.1169577,1120.0,5.671050464086084,2.0423852378977534,1.360033392906189,1.1493870963071831e-05,-11.459155902616464,0.2118663787841797,-0.0001914342303263558,0.01798337506440024,-0.4034934574064064,0.01
1763140971.1386156,1120.0,5.671066712960327,2.0424896439454394,1.3600562810897827,1.1493870963071831e-05,-11.459155902616464,0.21184349060058594,-0.00017506951451803349,0.0010440525892393068,-0.4036863196005018,0.01
1763140971.1596255,1120.0,5.671066712960327,2.0424896439454394,1.3600562810897827,1.1493870963071831e-05,-17.188733853924695,0.21184349060058594,-0.00017506951451803349,0.001029210651355599,-0.40368631316753667,0.01
1763140971.179152,1120.0,5.671066712960327,2.0424896439454394,1.3600562810897827,1.1493870963071831e-05,-17.188733853924695,0.21184349060058594,-0.00017506951451803349,0.001029210651355842,-0.403686313167621,0.01
1763140971.2015169,1120.0,5.671089184876631,2.042679242489784,1.3603086471557617,1.1493870963071831e-05,-17.188733853924695,0.21159112453460693,-0.00015238727047320612,0.0010292106105039627,-0.4033065233395361,0.01
1763140971.2197893,1120.0,5.671089184876631,2.042679242489784,1.3603086471557617,1.1493870963071831e-05,-22.91831180523293,0.21159112453460693,-0.00015238727047320612,0.0010292106098449653,-0.40330647772255257,0.01
1763140971.2395933,1120.0,5.671089184876631,2.042679242489784,1.3603086471557617,1.1676364890272728e-05,-22.91831180523293,0.21159112453460693,-0.00015238727047320612,0.0010455505437592385,-0.4033064777231753,0.01
1763140971.2600048,1120.0,5.671113014998783,2.042971644027102,1.3608286380767822,1.1676364890272728e-05,-22.91831180523293,0.21107113361358643,-0.0001282328768142706,0.001045550491150155,-0.402459914649724,0.01
1763140971.2828348,1120.0,5.671113014998783,2.042971644027102,1.3608286380767822,1.1676364890272728e-05,-23.118472170528737,0.21107113361358643,-0.0001282328768142706,0.0010455504904050815,-0.40245969425298067,0.01
1763140971.295871,1120.0,5.671113014998783,2.042971644027102,1.3608286380767822,1.1676364890272728e-05,-23.118472170528737,0.21107113361358643,-0.0001282328768142706,0.0010455504904050721,-0.402459694255874,0.01
1763140971.3216803,1120.0,5.671113014998783,2.042971644027102,1.3618732690811157,1.2273791490527784e-05,-23.118472170528737,0.21002650260925293,-0.0001282328768142706,0.0010990421129726316,-0.4006208392564058,0.01
1763140971.3408725,1120.0,5.671137394409348,2.0433706578723823,1.3618732690811157,1.2273791490527784e-05,-23.12952236027803,0.21002650260925293,-0.00010341116420205983,0.0010990418169125834,-0.40069012234119705,0.01
1763140971.3623376,1120.0,5.671137394409348,2.0433706578723823,1.3618732690811157,1.2273791490527784e-05,-23.12952236027803,0.21002650260925293,-0.00010341116420205983,0.001099041816056923,-0.4006901201021613,0.01
1763140971.3837898,1120.0,5.671137394409348,2.0433706578723823,1.362642765045166,1.3069402357868323e-05,-23.12952236027803,0.20925700664520264,-0.00010341116420205983,0.001170277559926644,-0.3993341309742837,0.01
1763140971.4040327,1120.0,5.6711587617596795,2.043839268932099,1.362642765045166,1.3069402357868323e-05,-23.129521991696283,0.20925700664520264,-8.152466526281542e-05,0.0011702770876886694,-0.3993956071894795,0.01
1763140971.424822,1120.0,5.6711587617596795,2.043839268932099,1.362642765045166,1.3069402357868323e-05,-23.129521991696283,0.20925700664520264,-8.152466526281542e-05,0.0011702770869724878,-0.3993956053591014,0.01
1763140971.4439266,1120.0,5.6711587617596795,2.043839268932099,1.3635520935058594,1.3069402357868323e-05,-23.129521991696283,0.20834767818450928,-8.152466526281542e-05,0.0011702771463068535,-0.397791938634441,0.01
1763140971.4639785,1120.0,5.671168053832232,2.04434872929827,1.3635520935058594,1.3069402357868323e-05,-23.10776163744985,0.20834767818450928,-7.166855654790731e-05,0.0011702771162694597,-0.39781913933207824,0.01
1763140971.4849818,1120.0,5.671168053832232,2.04434872929827,1.3635520935058594,1.3069402357868323e-05,-23.10776163744985,0.20834767818450928,-7.166855654790731e-05,0.0011702771161296024,-0.3978191387871996,0.01
1763140971.5029578,1120.0,5.671168053832232,2.04434872929827,1.3635520935058594,1.4196913380263141e-05,-23.10776163744985,0.20834767818450928,-7.166855654790731e-05,0.0012712286164872429,-0.39781913878720704,0.01
1763140971.526973,1120.0,5.671171641983389,2.0448812929943534,1.3644179105758667,1.4196913380263141e-05,-23.1077590238249,0.20748186111450195,-6.74912069094021e-05,0.0012712278403423343,-0.396302602048849,0.01
1763140971.5456953,1120.0,5.671171641983389,2.0448812929943534,1.3644179105758667,1.4196913380263141e-05,-23.1077590238249,0.20748186111450195,-6.74912069094021e-05,0.001271227840208679,-0.39630192778379114,0.01
1763140971.559577,1120.0,5.671171641983389,2.0448812929943534,1.3644179105758667,1.5129696293989294e-05,-23.1077590238249,0.20748186111450195,-6.74912069094021e-05,0.001354743036149994,-0.39630192779154416,0.01
1763140971.5851064,1120.0,5.671174179594893,2.045422857693454,1.3652536869049072,1.5129696293989294e-05,-23.1077590238249,0.20664608478546143,-6.435487943604357e-05,0.0013547425238659649,-0.3948341272373296,0.01
1763140971.5988948,1120.0,5.671174179594893,2.045422857693454,1.3652536869049072,1.5129696293989294e-05,-22.95388327438102,0.20664608478546143,-6.435487943604357e-05,0.001354742523738125,-0.394833498350522,0.01
1763140971.626852,1120.0,5.671174179594893,2.045422857693454,1.3652536869049072,1.5370425706311118e-05,-22.95388327438102,0.20664608478546143,-6.435487943604357e-05,0.00137629554911933,-0.3948334983576668,0.01
1763140971.6483026,1120.0,5.671176830766595,2.045962668663722,1.3661315441131592,1.5370425706311118e-05,-22.95388327438102,0.20576822757720947,-6.110737510119665e-05,0.0013762955663133316,-0.3932903000642688,0.01
1763140971.659039,1120.0,5.671176830766595,2.045962668663722,1.3661315441131592,1.5370425706311118e-05,-22.8801603203509,0.20576822757720947,-6.110737510119665e-05,0.0013762955661713668,-0.39328960953053044,0.01
1763140971.688523,1120.0,5.671176830766595,2.045962668663722,1.3661315441131592,0.001081994607811433,-22.8801603203509,0.20576822757720947,-6.110737510119665e-05,0.09687313906626721,-0.39328960953911646,0.01
1763140971.7078116,1120.0,5.671178983864874,2.046512395903659,1.3669192790985107,0.001081994607811433,-22.8801603203509,0.2049804925918579,-5.834744694326591e-05,0.0961319911363244,-0.3919031256340359,0.01
1763140971.7244487,1120.0,5.671178983864874,2.046512395903659,1.3669192790985107,0.001081994607811433,-22.883682648022052,0.2049804925918579,-5.834744694326591e-05,0.09613197618114595,-0.3919025683119772,0.01
1763140971.749355,1120.0,5.671178983864874,2.046512395903659,1.3669192790985107,0.004825348621156977,-22.883682648022052,0.2049804925918579,-5.834744694326591e-05,0.4260834956723428,-0.39190256853643296,0.01
1763140971.769437,1120.0,5.6711808953156675,2.04705458742137,1.3677904605865479,0.004825348621156977,-22.883682648022052,0.2041093111038208,-5.583793858214951e-05,0.4166042721576188,-0.3903664233392995,0.01
1763140971.7901127,1120.0,5.6711808953156675,2.04705458742137,1.3677904605865479,0.004825348621156977,-22.793357662035685,0.2041093111038208,-5.583793858214951e-05,0.416602809474999,-0.39036571687520144,0.01
1763140971.809543,1120.0,5.6711808953156675,2.04705458742137,1.3677904605865479,0.004825348621156977,-22.793357662035685,0.2041093111038208,-5.583793858214951e-05,0.4166028087252331,-0.39036571688227334,0.01
1763140971.8298564,1120.0,5.6711808953156675,2.04705458742137,1.368630290031433,0.007928135153898366,-22.793357662035685,0.20326948165893555,-5.583793858214951e-05,0.6745849106834756,-0.38887660605043745,0.014866817284880408
1763140971.8507295,1120.0,5.671182421814109,2.0476002474098514,1.368630290031433,0.007928135153898366,-22.706427875353786,0.20326948165893555,-5.3710013224763264e-05,0.6673700722750159,-0.3888820192717884,0.014745031594041594
1763140971.8703413,1120.0,5.671182421814109,2.0476002474098514,1.368630290031433,0.007928135153898366,-22.706427875353786,0.20326948165893555,-5.3710013224763264e-05,0.6673687920389336,-0.3888820193649328,0.015075178239188516
1763140971.8910062,1120.0,5.671182421814109,2.0476002474098514,1.3695186376571655,0.008538819040961456,-22.706427875353786,0.20238113403320312,-5.3710013224763264e-05,0.715538291598857,-0.3873054982322981,0.015779835139678546
1763140971.9118755,1120.0,5.671183871100009,2.0481506951985287,1.3695186376571655,0.008538819040961456,-22.622293066279827,0.20238113403320312,-5.1654489105780695e-05,0.7150817317660388,-0.3873106327772063,0.01584238747737554
1763140971.9305868,1120.0,5.671183871100009,2.0481506951985287,1.3695186376571655,0.008538819040961456,-22.622293066279827,0.20238113403320312,-5.1654489105780695e-05,0.715081456167415,-0.38731063272445143,0.016182168651027284
1763140971.94632,1120.0,5.671183871100009,2.0481506951985287,1.3706953525543213,0.008785899373852098,-22.622293066279827,0.20120441913604736,-5.1654489105780695e-05,0.7343599745284461,-0.38522036506528595,0.015393434516447636
1763140971.9728658,1120.0,5.671184682965807,2.048754850149637,1.3706953525543213,0.008785899373852098,-22.622293066279827,0.20120441913604736,-5.01777745504882e-05,0.7342300079961076,-0.3852233611445918,0.011958579433504774
1763140971.9931629,1120.0,5.671184682965807,2.048754850149637,1.3706953525543213,0.008785899373852098,-22.454363144613726,0.20120441913604736,-5.01777745504882e-05,0.7342298862248687,-0.3852233611165424,0.01651733637865851
1763140972.0132506,1120.0,5.671184682965807,2.048754850149637,1.3706953525543213,0.008901077534740648,-22.454363144613726,0.20120441913604736,-5.01777745504882e-05,0.7431771289888298,-0.3852233611783183,0.016666662488094876
1763140972.0331857,1120.0,5.671185830774423,2.049401006508616,1.371932864189148,0.008901077534740648,-22.454363144613726,0.1999669075012207,-4.8319524890855053e-05,0.7431255559946772,-0.383027712887665,0.01644199729502637
1763140972.0548463,1120.0,5.671185830774423,2.049401006508616,1.371932864189148,0.008901077534740648,-22.366348520959058,0.1999669075012207,-4.8319524890855053e-05,0.7431252720618754,-0.3830263721654545,0.016104121933924766
1763140972.0753946,1120.0,5.671185830774423,2.049401006508616,1.371932864189148,0.009019414818623828,-22.366348520959058,0.1999669075012207,-4.8319524890855053e-05,0.7522988594537007,-0.3830263722395131,0.017285313746771096
1763140972.0975583,1120.0,5.671186629263729,2.0501055575961837,1.3731517791748047,0.009019414818623828,-22.366348520959058,0.19874799251556396,-4.674713329507617e-05,0.7522444903612377,-0.3808602160418718,0.017388918170597727
1763140972.1140337,1120.0,5.671186629263729,2.0501055575961837,1.3731517791748047,0.009019414818623828,-22.281298432798618,0.19874799251556396,-4.674713329507617e-05,0.7522441957737069,-0.3808589158142586,0.01874210303986111
1763140972.1361282,1120.0,5.671186629263729,2.0501055575961837,1.3731517791748047,0.00909662842391208,-22.281298432798618,0.19874799251556396,-4.674713329507617e-05,0.7582170672136224,-0.3808589158659038,0.01592912608559947
1763140972.1523926,1120.0,5.671186950385476,2.050885049151222,1.3744038343429565,0.00909662842391208,-22.281298432798618,0.1974959373474121,-4.5570699430290865e-05,0.7581832223072499,-0.3786298133848222,0.01720954088814254
1763140972.177137,1120.0,5.671186950385476,2.050885049151222,1.3744038343429565,0.00909662842391208,-22.190970430922246,0.1974959373474121,-4.5570699430290865e-05,0.7581830194185731,-0.3786284441067406,0.014092428467893419
1763140972.1892872,1120.0,5.671186950385476,2.050885049151222,1.3744038343429565,0.009170172912457785,-22.190970430922246,0.1974959373474121,-4.5570699430290865e-05,0.7638641156402809,-0.37862844415679636,0.017518708193893305
1763140972.2178197,1121.0,5.671187344424036,2.051736125922509,1.3759173154830933,0.009170172912457785,-22.190970430922246,0.1959667205810547,-4.4243893863787265e-05,0.7638314808531582,-0.37590220867822155,0.01126991984883553
